model,features,validation,MAE,RMSE,R2
RandomForest v1 solar,calendar + lags + rolling_24 + solar_irradiance,split temporel 80/20,576.7928298213145,677.8191659563411,-2.6248000239932967
RandomForest v2 weather + solar,calendar + lags + rolling_24 + solar_irradiance + weather,split temporel 80/20,576.8520042446416,677.854637770103,-2.6251794219278155
