model,MAE,RMSE,R2
Baseline rolling_24,0.11665060510071522,0.17222860990451266,0.03814371685561602
RandomForest v3,0.12823641975308805,0.18213075360450642,-0.07563806512062143
Baseline lag_1,0.1293518518518647,0.2086070568282552,-0.41109932865909693
Baseline lag_24,0.14489733593243004,0.23676164184413823,-0.8177003028602157
